release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
84.8,-1.34,5.12,53.79,91.5,85.1,2453,6.7,Sweeper
87.9,-1.48,5.03,53.85,94.6,88.0,1797,6.7,Changeup
86.6,-1.57,5.11,53.99,109.8,86.6,2141,6.5,Slider
94.5,-1.36,5.17,54.06,112.3,94.0,2257,6.4,Sinker
95.7,-1.37,5.12,53.96,79.8,95.5,2225,6.5,4-Seam Fastball
96.2,-1.33,5.18,53.87,96.7,96.3,2267,6.6,Sinker
96.5,-1.2,5.21,54.07,104.2,96.1,2284,6.4,4-Seam Fastball
88.9,-1.61,5.1,53.86,95.9,89.6,2201,6.6,Slider
96.9,-1.52,5.04,53.7,87.7,97.6,2222,6.8,4-Seam Fastball
89.1,-1.68,5.07,53.8,87.4,89.6,2291,6.7,Slider
96.7,-1.36,5.22,53.45,94.9,97.5,2315,7.1,4-Seam Fastball
98.0,-1.28,5.11,53.7,110.5,98.5,2308,6.8,Sinker
96.3,-1.28,5.17,53.82,66.7,96.6,2068,6.7,4-Seam Fastball
95.0,-1.45,5.13,53.95,81.1,94.5,2243,6.5,Sinker
91.0,-1.3,5.05,53.36,97.3,92.2,1729,7.1,Changeup
96.3,-1.45,5.08,53.53,85.1,97.2,2174,7.0,4-Seam Fastball
87.4,-1.58,5.02,53.85,112.7,87.9,2258,6.6,Slider
96.9,-1.32,5.04,53.79,99.5,97.4,2365,6.7,Sinker
96.7,-1.33,5.12,53.92,81.4,96.9,2291,6.6,4-Seam Fastball
94.8,-1.31,5.09,53.84,74.0,95.0,2131,6.7,4-Seam Fastball
94.1,-1.4,5.04,53.9,68.8,94.1,2226,6.6,4-Seam Fastball
94.9,-1.39,5.1,53.97,89.4,94.8,2222,6.5,4-Seam Fastball
86.6,-1.43,5.07,53.82,79.0,87.3,2179,6.7,Slider
94.5,-1.22,5.03,53.91,91.2,95.4,2309,6.6,Sinker
89.0,-1.38,5.08,53.81,76.4,89.7,2179,6.7,Slider
90.1,-1.3,5.03,53.8,101.7,89.8,1918,6.7,Changeup
95.3,-1.19,5.14,53.92,77.7,95.5,2352,6.6,Sinker
87.1,-1.36,5.21,53.97,73.2,88.0,2205,6.5,Slider
90.2,-1.41,4.97,53.82,81.7,90.5,1888,6.7,Changeup
90.6,-1.33,4.97,53.76,89.0,91.3,1816,6.7,Changeup
95.0,-1.37,4.91,53.73,73.8,95.5,2309,6.8,Sinker
95.8,-1.36,5.13,53.8,81.4,96.5,2364,6.7,4-Seam Fastball
95.8,-1.54,5.04,53.84,72.3,95.5,2246,6.7,4-Seam Fastball
95.2,-1.4,5.23,53.88,71.6,95.5,2249,6.6,4-Seam Fastball
88.0,-1.43,5.08,53.86,86.0,88.7,2182,6.6,Slider
93.3,-1.5,5.01,53.91,32.5,94.0,2267,6.6,Sinker
92.8,-1.39,5.11,53.95,95.7,93.1,2275,6.5,Sinker
88.0,-1.41,5.03,53.88,85.9,88.6,2224,6.6,Slider
95.1,-1.2,5.13,53.84,73.7,95.0,2376,6.7,4-Seam Fastball
94.1,-1.26,5.2,53.88,86.7,94.4,2313,6.6,4-Seam Fastball
82.9,-1.29,5.09,53.78,89.1,83.2,2497,6.7,Sweeper
96.5,-1.21,5.16,53.79,91.6,97.5,2398,6.7,Sinker
88.5,-1.36,5.02,53.91,97.6,90.0,2215,6.6,Slider
96.1,-1.34,5.14,53.83,73.0,97.0,2303,6.7,4-Seam Fastball
94.8,-1.24,5.09,53.83,72.8,95.4,2226,6.7,4-Seam Fastball
95.8,-1.16,5.22,53.88,73.1,96.1,2408,6.6,4-Seam Fastball
96.0,-1.21,5.16,53.69,91.6,96.5,2100,6.8,Sinker
96.3,-1.38,5.12,53.8,78.4,97.0,2386,6.7,Sinker
96.0,-1.21,5.11,53.75,89.0,96.6,2357,6.7,4-Seam Fastball
96.8,-1.33,5.08,53.68,80.7,97.9,2466,6.8,4-Seam Fastball
95.6,-1.35,5.09,53.69,109.1,96.5,2261,6.8,4-Seam Fastball
95.3,-1.35,4.99,53.62,98.7,96.1,2235,6.9,Sinker
94.9,-1.36,5.08,53.74,106.7,95.7,2280,6.8,Sinker
96.7,-1.3,5.16,53.77,100.0,97.2,2354,6.7,4-Seam Fastball
89.4,-1.41,5.17,54.1,96.2,89.9,2208,6.4,Slider
94.7,-1.2,5.3,54.18,88.2,94.9,2322,6.3,Sinker
88.4,-1.37,5.23,54.02,77.4,89.3,2214,6.5,Slider
95.4,-1.12,5.3,54.25,79.9,95.5,2179,6.3,Sinker
90.5,-1.37,5.17,54.04,82.6,90.8,1641,6.5,Changeup
89.5,-1.46,5.23,53.93,78.5,90.7,2295,6.6,Slider
96.3,-1.3,5.24,53.87,70.3,96.7,2376,6.6,Sinker
95.2,-1.2,5.28,54.03,54.6,95.3,2321,6.5,Sinker
89.8,-1.36,5.13,53.92,102.9,90.3,2316,6.6,Slider
94.6,-1.3,5.09,53.92,97.7,95.2,2131,6.6,4-Seam Fastball
96.1,-1.25,5.17,53.92,101.8,96.4,2292,6.6,Sinker
94.4,-1.48,4.9,53.75,81.4,94.8,2254,6.7,Sinker
96.0,-1.38,5.06,53.73,80.1,96.5,2263,6.8,4-Seam Fastball
96.1,-1.59,5.11,53.79,101.9,96.7,2320,6.7,4-Seam Fastball
96.2,-1.34,5.14,53.65,102.1,97.4,2274,6.8,4-Seam Fastball
97.2,-1.36,5.26,54.05,90.1,97.4,2146,6.4,4-Seam Fastball
96.6,-1.6,4.98,53.54,76.8,97.5,2269,7.0,4-Seam Fastball
96.2,-1.45,5.19,54.09,70.3,96.5,2260,6.4,4-Seam Fastball
95.6,-1.4,5.1,53.94,72.8,95.9,2285,6.6,4-Seam Fastball
96.4,-1.34,5.08,53.75,85.6,96.4,2164,6.8,4-Seam Fastball
85.7,-1.45,5.04,54.22,82.9,86.0,2584,6.3,Sweeper
87.2,-1.54,5.14,53.96,68.0,87.8,2201,6.5,Slider
97.0,-1.4,5.04,53.77,81.6,97.2,2310,6.7,4-Seam Fastball
97.4,-1.22,5.13,54.12,69.6,97.5,2275,6.4,4-Seam Fastball
97.5,-1.41,5.06,53.85,54.6,97.7,2176,6.7,4-Seam Fastball
85.1,-1.42,5.08,53.79,60.5,85.7,2402,6.7,Sweeper
96.4,-1.08,5.24,53.93,73.0,97.2,2397,6.6,Sinker
96.3,-1.3,5.15,54.01,75.7,96.7,2207,6.5,4-Seam Fastball
90.5,-1.38,5.07,53.81,59.9,91.0,1741,6.7,Changeup
95.5,-1.4,4.99,53.47,111.6,96.9,2239,7.0,Sinker
96.8,-1.3,5.15,53.95,84.7,96.9,2268,6.6,4-Seam Fastball
95.9,-1.38,5.12,53.69,63.0,96.7,2352,6.8,4-Seam Fastball
95.9,-1.65,5.06,53.71,61.5,96.7,2208,6.8,4-Seam Fastball
97.0,-1.35,5.27,54.01,70.5,97.4,2319,6.5,4-Seam Fastball
96.4,-1.49,5.16,53.71,73.1,96.8,2360,6.8,4-Seam Fastball
97.0,-1.1,5.34,53.86,86.2,97.6,2300,6.6,4-Seam Fastball
96.8,-1.37,5.18,53.78,87.1,97.5,2240,6.7,4-Seam Fastball
96.7,-1.22,5.28,54.1,71.2,96.9,2320,6.4,4-Seam Fastball
94.4,-1.47,4.88,53.82,103.9,95.7,2326,6.7,Sinker
94.1,-1.51,5.02,53.86,98.3,94.7,2162,6.6,4-Seam Fastball
93.8,-1.25,4.97,53.95,106.5,94.8,2296,6.6,4-Seam Fastball
94.9,-1.33,5.07,53.84,77.8,95.8,2270,6.7,4-Seam Fastball
94.6,-1.16,4.97,53.76,99.9,96.0,2258,6.7,4-Seam Fastball
95.3,-1.27,4.98,53.83,84.7,96.2,2242,6.7,Sinker
94.6,-1.37,4.91,53.94,73.4,95.4,2170,6.6,4-Seam Fastball
94.4,-1.39,5.06,53.91,75.6,95.1,2308,6.6,4-Seam Fastball
95.1,-1.41,4.94,53.79,88.6,95.7,2369,6.7,4-Seam Fastball
94.2,-1.42,4.87,53.86,72.5,95.4,2289,6.6,Sinker
94.1,-1.51,4.7,53.91,73.1,95.0,2286,6.6,Sinker
95.5,-1.3,4.97,53.89,79.2,96.1,2299,6.6,4-Seam Fastball
84.2,-1.4,4.83,53.86,75.7,85.2,2543,6.6,Sweeper
95.0,-1.23,5.04,53.96,79.4,95.7,2286,6.5,4-Seam Fastball
93.6,-1.41,4.88,54.09,59.6,94.2,2316,6.4,Sinker
88.0,-1.51,4.83,53.8,99.2,89.2,1855,6.7,Changeup
84.7,-1.54,4.76,53.69,63.4,85.6,2508,6.8,Sweeper
95.3,-1.4,4.95,53.7,83.8,96.8,2247,6.8,4-Seam Fastball
95.2,-1.44,4.79,53.7,101.5,96.1,2288,6.8,Sinker
95.1,-1.58,4.94,53.85,65.3,96.5,2186,6.6,4-Seam Fastball
97.0,-1.38,4.95,53.84,84.3,98.0,2309,6.7,4-Seam Fastball
96.6,-1.56,4.94,53.79,74.8,97.7,2262,6.7,4-Seam Fastball
93.9,-1.54,5.05,53.89,34.3,95.4,2320,6.6,Sinker
93.4,-1.54,4.82,53.73,77.6,94.6,2287,6.8,Sinker
94.6,-1.49,5.01,53.95,78.8,95.5,2370,6.6,Sinker
95.1,-1.37,4.96,53.97,78.4,95.8,2339,6.5,4-Seam Fastball
94.6,-1.47,4.82,53.85,93.7,95.6,2247,6.6,Sinker
86.4,-1.78,5.04,53.85,91.2,87.1,2145,6.6,Slider
94.6,-1.47,4.99,53.81,102.6,96.0,2321,6.7,Sinker
93.4,-1.43,5.09,53.9,84.6,94.4,2217,6.6,Sinker
94.2,-1.25,5.06,53.9,79.5,95.1,2288,6.6,4-Seam Fastball
94.0,-1.62,5.11,53.88,71.8,95.2,2297,6.6,4-Seam Fastball
