release_speed,release_pos_x,release_pos_z,release_pos_y,launch_speed,effective_speed,release_spin_rate,release_extension,pitch_name
89.8,-1.41,4.94,53.88,92.4,91.0,1599,6.6,Changeup
96.2,-1.45,4.96,53.96,98.1,96.9,2218,6.5,4-Seam Fastball
95.3,-1.54,4.89,53.98,86.8,96.0,2214,6.5,4-Seam Fastball
88.7,-1.59,4.99,53.94,93.7,89.5,2243,6.6,Slider
94.8,-1.39,5.08,53.89,73.0,95.3,2213,6.6,4-Seam Fastball
95.0,-1.6,4.98,53.94,73.1,95.6,2336,6.6,Sinker
95.4,-1.39,5.03,53.81,100.7,96.2,2326,6.7,Sinker
94.9,-1.6,4.91,53.95,85.5,95.6,2235,6.6,4-Seam Fastball
96.1,-1.44,5.03,54.13,77.9,95.8,2306,6.4,4-Seam Fastball
95.8,-1.31,4.97,53.94,100.3,96.3,2190,6.6,4-Seam Fastball
88.0,-1.35,4.98,53.97,69.4,89.0,2255,6.5,Slider
95.3,-1.18,4.98,54.01,100.3,95.2,2341,6.5,Sinker
96.5,-1.21,5.15,54.0,105.9,96.5,2241,6.5,4-Seam Fastball
96.7,-1.28,5.03,53.94,70.9,97.2,2263,6.6,4-Seam Fastball
95.9,-1.21,5.15,53.99,73.0,96.2,2211,6.5,4-Seam Fastball
90.9,-1.21,5.09,53.88,79.2,91.8,2295,6.6,Slider
95.8,-1.27,5.02,53.88,75.9,96.5,2285,6.6,Sinker
91.5,-1.28,4.97,53.65,82.2,92.7,1735,6.8,Changeup
91.4,-1.39,4.9,53.48,84.7,93.1,1680,7.0,Changeup
88.6,-1.3,5.02,53.95,103.5,89.2,2315,6.6,Slider
96.3,-1.32,5.09,53.98,84.5,96.4,2372,6.5,Sinker
96.6,-0.95,5.14,53.87,105.7,97.5,2375,6.6,Sinker
84.9,-1.44,5.15,53.89,48.8,85.5,2570,6.6,Sweeper
89.8,-1.19,5.18,53.92,72.2,90.6,2315,6.6,Slider
96.9,-1.25,5.25,53.9,88.4,97.1,2267,6.6,4-Seam Fastball
