"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2025-06-17","94","-1.38","4.89","Woo, Bryan",665966,693433,,"swinging_strike",,,,,3,"Carlos Narváez walks.","R","R","R","SEA","BOS","S",,,2,0,2025,"-0.91","1.32","0.41","3.59",,,,0,7,"Top",,,,,,,6.7052319436767505,-136.73020642693743,-0.5390375150519194,-12.989477984127078,32.31521920981367,-15.84362236470427,"3.61","1.62",,,,"94.3",2341,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.86",,,,,,,,53,3,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",231,"0","-0.065","72.4","7.1",,"0.065",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.28","0.91","0.91","17.9",4.52867800492527,19.132257847519554,23.81517316274401,41.569297683974355,18.822234221057744
"FF","2025-06-17","94.5","-1.32","5.09","Woo, Bryan",665966,693433,,"ball",,,,,11,"Carlos Narváez walks.","R","R","R","SEA","BOS","B",,,1,0,2025,"-0.72","1.31","-0.59","4.38",,,,0,7,"Top",,,,,,,3.5145037843507625,-137.6236476644845,0.9424072902036064,-9.958595808910367,32.75198431422251,-16.085031625207282,"3.57","1.62",,,,"94.4",2301,"6.4",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.13",,,,,,,,53,2,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",225,"0","0.069",,,,"-0.069",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.25","0.72","0.72","28.3",,,,,
"FF","2025-06-17","93.1","-1.56","4.93","Woo, Bryan",665966,693433,,"ball",,,,,11,"Carlos Narváez walks.","R","R","R","SEA","BOS","B",,,0,0,2025,"-0.87","1.45","-1.71","4.27",,,,0,7,"Top",,,,,,,1.529478427403426,-135.56078547842517,0.9083786883916274,-11.044877341435551,31.265777679942,-14.765935596489255,"3.67","1.62",,,,"93.1",2345,"6.4",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.14",,,,,,,,53,1,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Standard","Standard",230,"0","0.038",,,,"-0.038",,8,-8,"0.996","0.004",25,26,25,27,3,2,6,1,,,"1.19","0.87","0.87","20.9",,,,,
"SI","2025-06-17","95.3","-1.31","4.76","Woo, Bryan",701350,693433,"strikeout","called_strike",,,,,9,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","S",2,,3,2,2025,"-1.66","0.58","0.5","2.12",,,,2,6,"Top",,,,,,,8.51801382923255,-138.44837729385296,-2.5733037204731364,-23.284447143748487,31.960153307000567,-24.38648589712079,"3.51","1.6",,,,"95.5",2320,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.9",,0,"0",1,0,0,,47,6,"Sinker",8,0,0,8,0,8,0,8,"Infield shade","Standard",235,"0","-0.325",,,,"0.325",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"1.95","1.66","-1.66","17.9",,,,,
"CH","2025-06-17","91","-1.4","4.69","Woo, Bryan",701350,693433,,"ball",,,,,13,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","B",,,2,2,2025,"-1.55","0.55","-1.53","2.26",,,,2,6,"Top",,,,,,,3.015197433965252,-132.46328373262338,-1.3560768600942896,-18.855330602224758,29.856623241535534,-25.62381809859769,"3.46","1.6",,,,"91.3",1922,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.89",,,,,,,,47,5,"Changeup",8,0,0,8,0,8,0,8,"Infield shade","Standard",243,"0","0.106",,,,"-0.106",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"2.21","1.55","-1.55","20.0",,,,,
"FF","2025-06-17","94.9","-1.48","4.88","Woo, Bryan",701350,693433,,"ball",,,,,11,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","B",,,1,2,2025,"-1.23","1.18","-1.34","4.02",,,,2,6,"Top",,,,,,,3.109783864883129,-138.0556364595773,0.8407978702518821,-16.33274058062187,33.76792631634973,-17.65541791368676,"3.48","1.6",,,,"94.6",2358,"6.4",777473,663728,642133,702284,810938,641487,668227,677594,686527,"54.12",,,,,,,,47,4,"4-Seam Fastball",8,0,0,8,0,8,0,8,"Infield shade","Standard",236,"0","0.039",,,,"-0.039",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"1.37","1.23","-1.23","20.9",,,,,
"CH","2025-06-17","90.6","-1.41","4.72","Woo, Bryan",701350,693433,,"swinging_strike",,,,,13,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","S",,,1,1,2025,"-1.62","0.16","-0.27","1.19",,,,2,6,"Top",,,,,,,6.368364135393982,-131.75000914188718,-3.2132936013033713,-20.193102473611454,30.179565881718805,-29.750276432101998,"3.49","1.6",,,,"91",1850,"6.7",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.78",,,,,,,,47,3,"Changeup",8,0,0,8,0,8,0,8,"Infield shade","Standard",243,"0","-0.064","76.2","7.6",,"0.064",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"2.63","1.62","-1.62","19.5",8.040575384863905,2.965819972216612,36.98820338589007,37.25172505856233,31.122740670565527
"SI","2025-06-17","94.6","-1.27","4.83","Woo, Bryan",701350,693433,,"called_strike",,,,,3,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","S",,,1,0,2025,"-1.58","0.52","0.52","3",,,,2,6,"Top",,,,,,,8.205485112181584,-137.465046020916,-0.2071788137802515,-21.851064910016824,32.31486632318192,-25.800464880033758,"3.46","1.7",,,,"94.6",2268,"6.5",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.99",,,,,,,,47,2,"Sinker",8,0,0,8,0,8,0,8,"Standard","Standard",232,"0","-0.051",,,,"0.051",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"2.05","1.58","-1.58","17.8",,,,,
"SL","2025-06-17","89","-1.3","4.99","Woo, Bryan",701350,693433,,"ball",,,,,14,"Roman Anthony called out on strikes.","R","L","R","SEA","BOS","B",,,0,0,2025,"-0.18","0.43","0.64","1.43",,,,2,6,"Top",,,,,,,5.161827771968061,-129.5130884231616,-3.6017108732671055,-3.081625359564566,27.734661433430613,-26.819260595407066,"3.54","1.69",,,,"89.4",2286,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.9",,,,,,,,47,1,"Slider",8,0,0,8,0,8,0,8,"Standard","Standard",206,"0","0.04",,,,"-0.04",,8,-8,"0.997","0.003",25,21,25,21,3,2,6,1,,1,"2.46","0.18","-0.18","25.3",,,,,
"CH","2025-06-17","91.3","-1.4","4.7","Woo, Bryan",647351,693433,"field_out","hit_into_play",,,,,13,"Abraham Toro grounds out, second baseman Cole Young to first baseman Rowdy Tellez.","R","L","R","SEA","BOS","X",4,"ground_ball",0,2,2025,"-1.47","0.13","-0.3","1.16",,,,1,6,"Top",139.85,147.52,,,,,5.957935356863084,-132.73384623576294,-3.2658830076507046,-18.709552550986206,30.118733001041477,-30.163993585636465,"3.24","1.56",28,"92.5",-1,"91.5",1742,"6.6",777473,663728,642133,702284,810938,641487,668227,677594,686527,"53.9",0.283,0.288,"0",1,0,0,2,46,3,"Changeup",8,0,0,8,0,8,0,8,"Infield shade","Standard",247,"0.001","-0.162","67.5","7.8",0.332,"0.162","92.5",8,-8,"0.996","0.004",25,28,25,29,3,2,6,1,,1,"2.63","1.47","-1.47","16.7",4.040613292854429,-2.857530028207907,36.796716059970045,41.12956943383696,34.322690845147115
